hg19	rn6
BCL2L10	Bcl2l10
TMEM204	Tmem204
GIP	Gip
PTAR1	Ptar1
TRABD	Trabd
SLC51B	Slc51b
FEZ2	FEZ2
NDUFC1	Ndufc1
ECSCR	Ecscr
TOX3	Tox3
AVPI1	Avpi1
ATG9B	Atg9b
DEFB124	Defb25
AGBL3	Agbl3
KIAA1407	RGD1566314
ZNF672	Zfp672
TMEM173	Tmem173
MFSD2B	Mfsd2b
EFCAB13	Gm11639
GNPNAT1	Gnpnat1
IPO4	Ipo4
LTB	Ltb
GAS2	Gas2
ZC3H18	Zc3h18
AURKAIP1	Aurkaip1
BRI3	Bri3
TMEM158	Tmem158
KIAA0408	RGD1310049
C16orf78	4933402J07Rik
NOC4L	Noc4l
PTH2	Pth2
TMEM141	Tmem141
SPINT4	Spint4
FJX1	Fjx1
CNTF	Cntf
THEG	Theg
RNF152	Rnf152
C4orf46	RGD1560010
FABP4	Fabp4
GRB7	Grb7
HRG	Hrg
TCFL5	Tcfl5
GIGYF1	Gigyf1
NPFF	Npff
TMEM219	Tmem219
MT-ND6	MT-ND6
DEFB116	Defb29
ZMYM6NB	Zmym6nb
C1orf141	RGD1562532
C10orf107	RGD1306739
SPATA33	RGD1561507
TOX	Tox
NTS	Nts
CDCA5	Cdca5
AGBL2	Agbl2
KREMEN2	Kremen2
DNAJC13	Dnajc13
CD79B	Cd79b
NCK2	Nck2
MC4R	Mc4r
IQCG	Iqcg
GCHFR	Gchfr
GAS2L3	Gas2l3
CD59	Cd59
MGAT3	Mgat3
C1orf234	4930549C01Rik
PDZK1IP1	Pdzk1ip1
H1FX	H1fx
C1orf233	B930041F14Rik
CCDC61	Ccdc61
MGARP	Mgarp
DDN	Ddn
NAA40	Naa40
C2orf57	1700019O17Rik
SPATA25	Spata25
LY6D	Ly6d
VSIG4	Vsig4
ZWINT	Zwint
RMI2	Rmi2
PRR18	Prr18
C4orf50	Gm1043
C9orf142	RGD1306215
ESM1	Esm1
PKHD1	Pkhd1
AKAP5	Akap5
TMEM18	Tmem18
C6orf47	G4
PRNP	Prnp
C15orf48	MGC105649
GAR1	Gar1
IL25	Il25
POLR3G	Polr3g
AJAP1	Ajap1
PSORS1C2	Psors1c2
GGN	Ggn
MGMT	Mgmt
FBXL6	Fbxl6
ZNF48	Zfp553
CCL20	Ccl20
KLHDC9	Klhdc9
CD3E	Cd3e
TUSC2	Tusc2
GAS2L1	Gas2l1
TNIP2	Tnip2
C21orf58	RGD1564149
FANCC	Fancc
SHANK3	Shank3
ZNF275	Zfp275
TOMM5	Tomm5
PRPF6	Prpf6
KNCN	Kncn
RABAC1	Rabac1
TEX35	Tex35
GRB14	Grb14
TIRAP	Tirap
TOX4	Tox4
GHDC	Ghdc
ISG15	Isg15
DAP	Dap
IZUMO3	Izumo3
AARD	Aard
PAWR	Pawr
CXCL17	Cxcl17
ZNF786	Zfp786
SH3BP2	Sh3bp2
PIGP	PIGP
CAMTA1	Camta1
KPTN	KPTN
GALP	Galp
C12orf50	1700017N19Rik
MADCAM1	Madcam1
KCTD20	Kctd20
TMUB2	Tmub2
C21orf62	RGD1562726
RCSD1	Rcsd1
BGLAP	Bglap
TDP2	Tdp2
SAC3D1	Sac3d1
PCDHB1	Pcdhb1
TP53TG5	RGD1561934
C19orf60	RGD1566239
THYN1	Thyn1
DKKL1	Dkkl1
DPCR1	Dpcr1
DMP1	Dmp1
NCBP1	Ncbp1
KREMEN1	Kremen1
HEMGN	Hemgn
BEND3	Bend3
FIGLA	Figla
ORC6	Orc6
ITIH6	Itih6
TSGA13	Tsga13
SPRR4	Sprr4
CCDC160	Ccdc160
USP20	Usp20
TDRD12	Tdrd12
SMPDL3B	Smpdl3b
WDR27	Wdr27
C6orf222	4930539E08Rik
GPS2	Gps2
PLEKHS1	Plekhs1
TMEM225	Tmem225
CCL25	Ccl25
CAMTA2	Camta2
TMEM143	Tmem143
BTBD10	Btbd10
LAMA5	Lama5
CD14	Cd14
NOBOX	Nobox
BTBD8	Btbd8
RNASEH2C	Rnaseh2c
LYPD8	Lypd8
C11orf52	2310030G06Rik
UTS2B	Uts2b
C19orf71	4930404N11Rik
KCTD18	Kctd18
SLC16A2	Slc16a2
BASP1	Basp1
CCDC33	Ccdc33
C5orf48	RGD1561039
TTC5	Ttc5
BCAP31	Bcap31
SHISA4	Shisa4
PDF	Pdf
REC8	Rec8
GAP43	Gap43
MASTL	Mastl
PRRT4	Prrt4
TCF19	Tcf19
KRTAP27-1	Krtap27-1
C20orf196	1110034G24Rik
JSRP1	Jsrp1
PATE2	Pate2
TMCO2	Tmco2
C2orf61	1700011E24Rik
BCL2A1	Bcl2a1
GNPDA2	Gnpda2
MSH6	Msh6
WDR88	Wdr88
FBXL22	Fbxl22
GPRC5C	Gprc5c
FAM216A	Fam216a
PSMD2	Psmd2
AMBN	AMBN
SECISBP2	Secisbp2
CLTC	Cltc
DBNDD1	Dbndd1
FBXW8	Fbxw8
INSL3	Insl3
PRR19	Prr19
PCDHB14	Pcdhb20
CENPV	Cenpv
ADM2	Adm2
WFDC13	Wfdc13
FEZ1	Fez1
NRROS	Nrros
GTF2H4	Gtf2h4
TMEM64	Tmem64
SMIM5	SMIM5
PCDHB7	Pcdhb15
TRADD	Tradd
LATS1	Lats1
FAM229A	Fam229a
ELP5	Elp5
OR10AD1	Olr1877
BEND7	Bend7
C11orf91	RGD1563222
ARMCX4	Armcx4
SCRG1	Scrg1
TROAP	Troap
RANBP6	Ranbp6
ANKRD66	Ankrd66
RNF216	Rnf216
FAM181B	Fam181b
TTC34	Ttc34
EIF2B4	Eif2b4
GPRC5D	Gprc5d
RP11-520P18.5	Gm20654
CEBPZ-AS1	1110001A16RIK
COA5	Coa5
MCM3AP	Mcm3ap
SPACA4	Spaca4
PCDHB15	Pcdhb22
UTF1	Utf1
C17orf97	RGD1565611
IGSF23	Igsf23
FABP9	Fabp9
COX20	COX20
DHX34	Dhx34
HAUS5	Haus5
PRCD	Gm11744
TMEM88B	Tmem88b
ANAPC2	Anapc2
NAT14	Nat14
C3orf30	RGD1306995
C5orf47	RGD1311343
SMIM4	Smim4
MRAP	Mrap
GPRC5A	Gprc5a
DNAJC22	Dnajc22
TEX38	Tex38
NKD2	Nkd2
UPK3A	Upk3a
PYROXD2	Pyroxd2
MEGF9	Megf9
TIFAB	Tifab
C6orf118	MGC94891
ANAPC5	Anapc5
PPIP5K1	Ppip5k1
ATXN7	Atxn7
GCC2	Gcc2
FAM174A	Fam174a
MT-ND2	MT-ND2
KCTD19	Kctd19
TMUB1	Tmub1
CLDND2	Cldnd2
NPHS1	Nphs1
IQCH	Iqch
KXD1	Kxd1
EDC3	Edc3
MLLT6	Mllt6
TMEM95	Tmem95
CRYL1	Cryl1
WFDC11	Wfdc11
GCK	Gck
TMEM212	Tmem212
KLHL11	Klhl11
RNF224	Rnf224
CXCL16	Cxcl16
CEP68	Cep68
CHTF8	Chtf8
EMCN	Emcn
BEND6	Bend6
FABP12	FABP12
SCGB1C1	Scgb1c1
PDCD7	Pdcd7
C17orf74	4933402P03Rik
ALG12	Alg12
BAHD1	Bahd1
LRRC71	Lrrc71
BAALC	Baalc
LARP7	Larp7
HAUS7	HAUS7
PATE1	Pate1
SMIM18	Smim18
TEX22	Tex22
WFDC1	Wfdc1
CCDC107	Ccdc107
KIAA1377	RGD1563556
C10orf54	MGC112715
OPALIN	Opalin
C9orf169	RGD1560880
TFAP2E	Tfap2e
C11orf82	RGD1559690
C19orf67	1700067K01Rik
SWT1	Swt1
ADCK2	Adck2
USP33	Usp33
GYPC	Gypc
SOX30	Sox30
C1orf65	4922505E12Rik
SPATA3	Spata3
PRM3	Prm3
NKD1	Nkd1
CCDC117	Ccdc117
POLR2E	Polr2e
BCAS1	Bcas1
FAM229B	Fam229b
C16orf46	1700030J22Rik
PCDHB17	Pcdhb14
PKHD1L1	Pkhd1l1
PELP1	Pelp1
CNBD2	Cnbd2
FKRP	Fkrp
MYEOV2	Myeov2
TMEM253	Tmem253
ZMYND12	Zmynd12
LRRC61	Lrrc61
C12orf55	Gm872
CRB3	Crb3
POLR3GL	Polr3gl
GAST	Gast
STIL	Stil
MS4A10	Ms4a10
PMP2	Pmp2
HK3	Hk3
NUPR1L	Nupr1l
IVL	Ivl
KRBA1	Krba1
NFIL3	Nfil3
BCAP29	Bcap29
ZNF622	Zfp622
IL9	Il9
CLN8	Cln8
C3orf20	RGD1560289
SENP6	Senp6
ATG9A	Atg9a
CXorf64	1110059M19Rik
COQ7	Coq7
WDR96	Wdr96
CENPC	Cenpc
CISD3	Cisd3
TAF11	Taf11
DEFB131	Defb43
CABYR	Cabyr
TFAP2B	Tfap2b
TEX11	Tex11
SRGN	Srgn
PCDHB3	Pcdhb3
CFTR	Cftr
CEACAM19	Ceacam19
RNASE9	Rnase9
FBXO18	Fbxo18
SMIM12	Smim12
CCDC54	Ccdc54
CCDC83	Ccdc83
ASPDH	Aspdh
SUSD5	Susd5
SSSCA1	Sssca1
ZNF248	Zfp248
C14orf79	RGD1307315
MED25	Med25
CDC6	Cdc6
MANSC4	Mansc4
GINM1	Ginm1
DENND3	Dennd3
B3GNTL1	B3gntl1
DDB2	Ddb2
C15orf60	RGD1311874
TMEM251	Tmem251
MEF2BNB	Mef2bnb
BIK	Bik
SPESP1	Spesp1
C17orf80	MGC95210
LY6G5B	Ly6g5b
LRRC32	Lrrc32
C2CD2	C2cd2
C11orf89	Gm14492
NPRL3	Nprl3
SYNRG	Synrg
PRKG1	Prkg1
KIRREL	Kirrel
WNK3	Wnk3
AGT	Agt
TFAP2A	Tfap2a
NVL	Nvl
CCDC96	Ccdc96
GPR143	Gpr143
C19orf18	2900092C05Rik
STK16	Stk16
ZFAND1	Zfand1
ANAPC13	Anapc13
UACA	Uaca
C2orf53	1700110M21Rik
TMEM175	Tmem175
MRPL50	Mrpl50
SMC1B	Smc1b
SNCAIP	Sncaip
IPO5	Ipo5
CCIN	Ccin
C1orf87	RGD1560146
ITIH5	Itih5
APOC2	Apoc2
NCF4	Ncf4
C19orf66	A230050P20Rik
PRAP1	Prap1
C16orf96	4930562C15Rik
NPB	Npb
PXT1	Pxt1
TMCO6	Tmco6
C1orf185	4930522H14Rik
WNK4	Vps25
PCSK9	Pcsk9
TFAP2D	Tfap2d
SELPLG	Selplg
PDHX	Pdhx
PLEKHJ1	PLEKHJ1
ATXN7L2	ATXN7L2
DEPDC5	Depdc5
MXRA8	Mxra8
TTC24	Ttc24
SYMPK	Sympk
WBSCR28	Wbscr28
NAGS	Nags
CYHR1	RGD1561328
CUEDC1	Cuedc1
HK2	Hk2
HCST	Hcst
TMEM215	Tmem215
HOPX	Hopx
CDRT4	Cdrt4
BCCIP	Bccip
ZDHHC24	Zdhhc24
C19orf69	Gm7092
C4orf40	RGD1310384
KIAA1210	Gm14569
C6orf25	G6b
PTRH1	Ptrh1
AZIN1	Azin1
NMB	Nmb
TREM1	Trem1
PBRM1	Pbrm1
AGTRAP	Agtrap
ATHL1	Athl1
ZCCHC2	Zcchc2
DEFB126	Defb22
SLC16A10	Slc16a10
LRRC25	Lrrc25
SF3B2	Sf3b2
ASB17	Asb17
C3orf84	BC048562
GBP5	Gbp5
CCDC105	Ccdc105
RTL1	rno-mir-3543
GJE1	Gje1
ASCC1	Ascc1
UPK2	Upk2
SYNE3	Syne3
ABTB1	Abtb1
LINC00935	RGD1305928
POLR3A	Polr3a
LY96	Ly96
PKIB	Pkib
GKAP1	Gkap1
TEPP	Tepp
SPP2	Spp2
RGP1	Rgp1
GPSM3	Gpsm3
TMEM116	Tmem116
SPP1	Spp1
ZNF414	Zfp414
TSR1	Tsr1
KHDC3L	Khdc3
C7orf55	Fmc1
PLEKHH1	Plekhh1
HSPB9	Hspb9
PTOV1	Ptov1
CCDC154	Ccdc154
PDZD9	Pdzd9
MED16	Med16
POLR2A	Polr2a
PRLH	Prlh
C1orf226	Gm7694
C20orf144	RGD1561517
SPATS1	Spats1
C4BPB	C4bpb
TIGIT	Tigit
ATP6V1F	Atp6v1f
PEX11G	Pex11g
ANKRD60	Ankrd60
C4orf3	1810037I17Rik
OGG1	Ogg1
MUC1	Muc1
FIZ1	Fiz1
CCDC68	Ccdc68
TTC32	Ttc32
ERN2	Ern2
DUS3L	Dus3l
FBXO21	Fbxo21
FAM221B	Fam221b
PRELID2	Prelid2
CCDC78	CCDC78
RESP18	Resp18
C17orf64	RGD1310166
MT4	Mt4
THEGL	THEGL
LAPTM5	Laptm5
TMEM138	Tmem138
HIRIP3	Hirip3
KRTAP24-1	Krtap24-1
SFT2D3	Sft2d3
GBP2	Gbp2
APOF	Apof
OST4	OST4
WDR76	Wdr76
NABP1	Nabp1
UCN2	Ucn2
HPX	Hpx
KIAA1199	RGD1305254
RPAP2	Rpap2
PATE3	Pate3
C10orf99	2610528A11Rik
SPZ1	Spz1
hsa-mir-1199	RGD1310262
TSACC	Tsacc
SHANK1	Shank1
PLEKHN1	Plekhn1
ARID2	Arid2
NABP2	Nabp2
SLC48A1	Slc48a1
SMPD1	Smpd1
CREBZF	CREBZF
ANKUB1	Ankub1
LAT2	Lat2
BSND	Bsnd
C9orf9	Rsb66
ACD	Acd
IZUMO4	Izumo4
CDO1	Cdo1
WDR33	Wdr33
C2orf74	1700093K21Rik
ZFR2	Zfr2
CD7	Cd7
OOEP	RGD1311103
ESYT2	Esyt2
C17orf59	2310047M10Rik
LYRM5	Lyrm5
WDR81	Wdr81
IFT74	Ift74
DLEU7	Dleu7
C2CD2L	C2cd2l
TMEM156	Tmem156
SECISBP2L	Secisbp2l
HJURP	Hjurp
DEFB135	Defb30
LYRM4	LYRM4
CCDC82	Ccdc82
C16orf71	4930451G09Rik
ZCCHC14	Zcchc14
DUS2	Dus2
TMEM190	Tmem190
CLPS	Clps
C9orf91	RGD1304595
LCN8	Lcn8
PRKG2	Prkg2
C1orf86	RGD1308923
C18orf8	RGD1311805
RBM33	Rbm33
RP11-831H9.11	1810009A15Rik
DEFB110	Defb17
TRAC	Trac
SLC35E4	Slc35e4
MLLT10	Mllt10
HLTF	Hltf
PUSL1	Pusl1
KIAA0040	4930523C07Rik
BSPH1	Bsph2
CCDC182	1700106J16Rik
CD244	Cd244
ELAC2	Elac2
CCNH	Ccnh
AC079354.1	Gm973
PKDCC	Pkdcc
OOSP1	Oosp1
TNP2	Tnp2
C2orf72	2810459M11Rik
SPATA32	Spata32
NAA38	Naa38
CARNS1	RGD1308234
TNFRSF4	Tnfrsf4
SH3BP5L	Sh3bp5l
ZGLP1	Zglp1
CLDN23	Cldn23
C14orf180	A530016L24Rik
BST2	Bst2
PLEK	Plek
OTUD1	Otud1
GZF1	Gzf1
C17orf98	1700001P01Rik
ANKRD24	Ankrd24
GTSF1	Gtsf1
IGJ	IGJ
PIGY	Pigyl
EQTN	Eqtn
ZBTB41	Zbtb41
CGNL1	Cgnl1
LRRIQ1	Lrriq1
RENBP	Renbp
GRIPAP1	Gripap1
CENPT	Cenpt
GHRH	Ghrh
HK1	Hk1
ANKRD22	Ankrd22
H1FNT	H1fnt
C20orf173	6430550D23Rik
CD4	Cd4
MDM1	Mdm1
SMLR1	Smlr1
APLN	Apln
TAC4	Tac4
GAPT	Gapt
TMEM201	Tmem201
LYNX1	RGD1308195
DSPP	Dspp
ZNF511	Zfp511
SRA1	Sra1
TEX26	Tex26
ZNF574	Zfp574
C2orf44	BC068281
IL15RA	Il15ra
GTSF1L	RGD1563200
PMVK	Pmvk
FSCB	Fscb
FBXL12	Fbxl12
ANKRD53	Ankrd53
LY6G6C	Ly6g6c
CLPSL2	Clpsl2
C19orf77	2210404O07Rik
CHGB	Chgb
C7orf43	RGD1305455
TMEM239	Tmem239
RYBP	Rybp
MRPS23	MRPS23
DEFB118	Defb21
RER1	Rer1
TMEM154	Tmem154
PRIMA1	Prima1
THOC2	Thoc2
SMAGP	SMAGP
TNFSF18	Tnfsf18
XPC	Xpc
RAI14	Rai14
TRAPPC5	Trappc5
ANKRD35	Ankrd35
PLEKHH2	Plekhh2
IL27	Il27
IL4R	Il4r
NOSTRIN	Nostrin
LAMTOR4	Lamtor4
SMIM23	RGD1306625
C15orf65	Gm5918
KIAA1522	RGD1561149
CD8A	Cd8a
NSUN3	Nsun3
AHSP	Ahsp
CTU1	Ctu1
STPG2	Stpg2
IGIP	Igip
ARC	Arc
TRIM40	Trim40
ERN1	Ern1
CABS1	Cabs1
SMPDL3A	Smpdl3a
RRP36	Rrp36
DEFB115	Defb28
GLIS1	Glis1
ANKAR	Ankar
CCDC116	Ccdc116
C1orf162	I830077J02Rik
FAM69C	Fam69c
PET100	Pet100
RC3H2	Rc3h2
MAMSTR	Mamstr
SMIM13	SMIM13
ZNF526	Zfp526
IAPP	Iapp
POM121L12	Pom121l12
CCDC71L	Ccdc71l
UCN	Ucn
NXPE2	Nxpe2
C19orf59	RGD1565374
SMIM22	RGD1563547
MLIP	Mlip
VWA7	Vwa7
KCNK18	Kcnk18
EPO	Epo
ICOSLG	Icoslg
C19orf55	RGD1565712
C3orf14	RGD1306063
SLC35E3	Slc35e3
SCT	Sct
CDSN	Cdsn
DEFB133	Defb49
C9orf116	RGD1306233
AUNIP	Aunip
XRN1	Xrn1
IL2RB	Il2rb
KRT23	Krt23
SH3BP5	Sh3bp5
TRNP1	Trnp1
SPINK7	Spink7
CSF1	Csf1
CCDC155	Ccdc155
ZFC3H1	Zfc3h1
FAM8A1	Fam8a1
ZNF143	Zfp143
GPR88	Gpr88
ORC1	Orc1
IRAK1	Irak1
TNFRSF8	Tnfrsf8
NXPE3	Nxpe3
WFDC9	Wfdc9
PRR24	Prr24
SAP30BP	Sap30bp
CGN	Cgn
MCIDAS	MCIDAS
AP1AR	Ap1ar
FSBP	FSBP
TRIM42	Trim42
C4orf45	Gm17359
PTPRH	Ptprh
C5orf45	RGD1564036
IQCC	Iqcc
C3orf83	2510049J12Rik
PLEK2	Plek2
SVIP	Svip
STMND1	Stmnd1
C17orf89	1810043H04Rik
ECM1	Ecm1
SFTA2	Sfta2
C16orf91	RGD1565784
PATE4	Pate4
C4orf51	1700011L22Rik
TAF1C	Taf1c
WFDC12	Wfdc12
FLT3LG	Flt3l
SMC1A	Smc1a
ATAD2	Atad2
TMEM129	Tmem129
RNF32	Rnf32
GFY	Gm581
DENND4A	Dennd4a
C10orf128	RGD1561145
NRBP1	Nrbp1
NPPA	Nppa
RGS22	Rgs22
C17orf99	6030468B19Rik
SPAG5	Spag5
C3orf80	1110032F04Rik
TEX29	Tex29
FBXW10	Fbxw10
SNTN	Sntn
ZDHHC7	Zdhhc7
RNASE11	Rnase11
ESYT3	Esyt3
TBKBP1	Tbkbp1
LY6G5C	Ly6g5c
C2orf81	1700003E16Rik
IRGQ	Irgq
CD83	Cd83
ILF3	Ilf3
NUDT6	Nudt6
LRRC41	Lrrc41
IL18BP	Il18bp
C8orf74	RGD1565212
GML	Gml
TEX12	Tex12
IFNAR2	Ifnar2
ZDHHC3	Zdhhc3
L2HGDH	L2hgdh
GPIHBP1	Gpihbp1
EFCAB9	Efcab9
ATAD2B	Atad2b
LRRC27	Lrrc27
C1orf56	RGD1359334
HGD	Hgd
FAM149A	Fam149a
ACRV1	Acrv1
HKDC1	Hkdc1
RIPPLY3	Ripply3
CXCL13	Cxcl13
TSTD2	Tstd2
MFSD8	Mfsd8
CCDC179	RGD1559980
PMAIP1	Pmaip1
TMEM52	Tmem52
RC3H1	Rc3h1
C10orf105	Gm17455
TREML1	Treml1
C6orf226	2310039H08Rik
CCER2	Gm6537
GRP	Grp
PLET1	PLET1
PRKX	Prkx
KATNB1	Katnb1
C12orf60	BC049715
USP4	Usp4
ENDOV	Endov
SMG5	Smg5
AMH	Amh
HSBP1L1	Hsbp1l1
TMEM40	Tmem40
TMEM217	Tmem217
C16orf74	RGD1309651
MXRA7	Mxra7
SPATA24	Spata24
CKM	Ckm
C2orf54	RGD1563692
KPRP	Kprp
DEFB113	Defb18
SMIM17	Smim17
PCP2	Pcp2
BCL2L12	Bcl2l12
C4orf19	0610040J01Rik
C11orf71	RGD1563941
ZNF579	Zfp579
C21orf140	4930563D23Rik
CD247	Cd247
SENP7	Senp7
SMIM3	Smim3
WDR6	Wdr6
ANKRD45	Ankrd45
LST1	Lst1
C4orf48	RGD1560394
CCDC163P	Ccdc163
TRIM44	Trim44
FAM110C	Fam110c
TNFRSF13C	Tnfrsf13c
CD19	Cd19
PRKACB	Prkacb
VMO1	Vmo1
DCAF5	Dcaf5
WFS1	Wfs1
NOXRED1	Noxred1
OPLAH	Oplah
C6orf201	RGD1307537
SMG7	Smg7
MAU2	MAU2
PCDHB2	Pcdhb2
CYS1	Cys1
TMEM247	Tmem247
ARMC12	Armc12
OR8D4	Olr1340
C9orf50	RGD1311084
FAM110D	Fam110d
ZNF775	Zfp775
ADC	Adc
SCYL1	Scyl1
MTURN	MGC95152
SIDT1	Sidt1
FXYD7	Fxyd7
PCDHB16	Pcdhb17
SPAG8	Spag8
NUP155	Nup155
PCDHB6	Pcdhb13
SMG6	Smg6
ZDHHC21	Zdhhc21
FXYD2	FXYD2
OSTN	Ostn
SYCE3	Syce3
CCDC40	Ccdc40
GAPVD1	Gapvd1
C1orf168	RGD1564074
EID2	Eid2
ESYT1	Esyt1
FAM149B1	Fam149b1
RBM44	Rbm44
IRAK2	Irak2
ZNF35	Zfp105
ZCWPW2	Zcwpw2
MARVELD1	Marveld1
C11orf80	Gm960
CCDC178	Ccdc178
DACT1	Dact1
EID2B	Eid2b
CCDC62	Ccdc62
GPD2	GPD2
PSMB4	Psmb4
PLEKHA2	Plekha2
GMNC	Gmnc
PC	Pc
GLTSCR1	Gltscr1
THEM6	Them6
CKB	Ckb
HSF5	Hsf5
RNF186	Rnf186
MAFK	Mafk
ZFR	ZFR
C1orf100	1700016C15Rik
PLAC9	Plac9
SYNM	Synm
DZIP1L	Dzip1l
DNAJC4	Dnajc4
RNFT2	Rnft2
ACOT9	Acot9
C1orf105	RGD1309106
NUP98	Nup98
CDC42EP2	Cdc42ep2
CD160	Cd160
PDZD3	Pdzd3
PAF1	Paf1
ANKMY2	Ankmy2
GMPPA	Gmppa
DENND4B	Dennd4b
RNFT1	Rnft1
PDZK1	Pdzk1
TSSC4	Tssc4
POLD4	Pold4
PRKACA	Prkaca
PET117	Pet117
TOR1B	Tor1b
LRRC66	Lrrc66
FUT8	Fut8
MYB	Myb
DACT2	Dact2
ATP5B	Atp5b
TANGO6	RGD1559841
SIDT2	Sidt2
PLRG1	Plrg1
RNF135	Rnf135
SLC9A3R1	Slc9a3r1
YAF2	Yaf2
GGCX	Ggcx
CEP95	Cep95
KIAA0947	RGD1309747
PTPRJ	Ptprj
MSANTD3	Msantd3
OR5M3	Olr473
ZNF410	Zfp410
SLC9A3R2	Slc9a3r2
C19orf68	RGD1310257
MANBAL	Manbal
OR52E2	Olr80
WRN	Wrn
SH3PXD2A	Sh3pxd2a
SDR39U1	Sdr39u1
CCDC14	Ccdc14
C19orf26	Dos
ZNF277	Zfp277
C15orf39	RGD1305464
ILF2	Ilf2
UBE2C	Ube2c
GMPPB	Gmppb
WDR4	Wdr4
C1orf122	RGD1559909
L3HYPDH	L3hypdh
TDRD5	Tdrd5
ADGB	Adgb
KTN1	Ktn1
OR5M9	Olr475
SYN1	Syn1
FUZ	Fuz
IRAK4	Irak4
JMJD7	Jmjd7
ABHD17A	Abhd17a
SPATA4	Spata4
KCNE3	Kcne3
CXorf27	RGD1563155
ZSWIM3	Zswim3
SGOL2	Sgol2
KRTAP11-1	Krtap11-1
VPRBP	Vprbp
SPSB3	Spsb3
IRAK3	Irak3
C2orf50	2410004P03Rik
DEAF1	Deaf1
ZMYND15	Zmynd15
SAPCD2	Sapcd2
MRPL49	Mrpl49
OR52E4	Olr188
FLYWCH2	Flywch2
DGCR14	Dgcr14
KIAA1429	RGD1559904
MRE11A	Mre11a
FAM228A	Fam228a
BBS12	Bbs12
LAG3	Lag3
ADNP2	Adnp2
KIF12	Kif12
RNF208	Rnf208
GET4	Get4
SIRT2	Sirt2
ANKK1	Ankk1
CCDC17	Ccdc17
HP1BP3	Hp1bp3
TSNAXIP1	Tsnaxip1
CAGE1	Cage1
CKS1B	Cks1b
STAP2	Stap2
ZCCHC7	Zcchc7
FLYWCH1	Flywch1
ANKRD27	Ankrd27
MORN2	MORN2
RFC2	Rfc2
INTS5	Ints5
C9orf131	1700022I11Rik
FAM110A	Fam110a
POMT1	Pomt1
PTF1A	Ptf1a
MYBBP1A	Mybbp1a
IGF2R	Igf2r
CTU2	Ctu2
EVC	Evc
CEP76	Cep76
STRBP	Strbp
C12orf4	RGD1311164
TBCD	Tbcd
PODXL2	Podxl2
CNNM3	Cnnm3
REPIN1	Repin1
UTS2R	Uts2r
GHRL	Ghrl
TMPO	Tmpo
C16orf45	RGD1305733
TDP1	Tdp1
CHCHD3	Chchd3
PHTF1	Phtf1
GPATCH1	Gpatch1
TMEM80	TMEM80
THAP7	Thap7
TTR	Ttr
GBA	Gba
SLC29A3	Slc29a3
TMEM104	Tmem104
GLTSCR1L	Gltscr1l
IDO2	Ido2
TLN1	Tln1
CLDN11	Cldn11
FAM110B	Fam110b
NUDT21	NUDT21
CCDC24	Ccdc24
FERD3L	Ferd3l
USP11	Usp11
MUC13	Muc13
MAD1L1	Mad1l1
SYAP1	Syap1
MCTP1	Mctp1
ZSWIM1	Zswim1
DNAJC30	Dnajc30
PHTF2	Phtf2
DCST1	Dcst1
ZNRD1	Znrd1
RECQL4	Recql4
ZFP92	Zfp92
MIS18BP1	Mis18bp1
NCSTN	Ncstn
ZDHHC13	Zdhhc13
C7orf31	4921507P07Rik
EXPH5	Exph5
CPED1	CPED1
CLASRP	Clasrp
IL36A	Il36a
CDC42EP3	Cdc42ep3
DAND5	Dand5
ZFYVE1	Zfyve1
VPS41	Vps41
CTR9	Ctr9
MCTP2	Mctp2
UPF3A	Upf3a
ADPGK	Adpgk
SREK1IP1	Srek1ip1
RRP7A	Rrp7a
MAFA	Mafa
MAGEB18	Mageb18
OVOL1	Ovol1
SH3PXD2B	RGD1309926
TTC17	Ttc17
C2orf16	4932415D10Rik
MANF	MANF
RALY	Raly
NRIP1	Nrip1
PIF1	Pif1
PHACTR3	Phactr3
BAG6	Bag6
STAP1	Stap1
IL36G	Il36g
SRD5A1	Srd5a1
KIAA0930	RGD1304694
CASC4	Casc4
SND1	Snd1
CREB3L4	Creb3l4
RAB24	Rab24
UBE2U	Ube2u
TMEM216	Tmem216
CBFA2T2	Cbfa2t2
CER1	Cer1
TOR3A	Tor3a
ABHD17C	Abhd17c
TSTD1	Tstd1
PHACTR2	Phactr2
MAF	Maf
CYP4F3	Cyp4f18
MROH9	Mroh9
HTATIP2	Htatip2
AHDC1	Ahdc1
IL36B	Il36b
RECQL5	Recql5
KIAA1598	RGD1311558
RRBP1	Rrbp1
RPA2	Rpa2
RNF187	Rnf187
PATL1	Patl1
RGAG1	Rgag1
C9orf96	RGD1307355
CYP51A1	CYP51A1
OR52E1	Olr86
COX5A	Cox5a
ARL2BP	Arl2bp
STK25	Stk25
IDO1	Ido1
PEX1	Pex1
MAFB	Mafb
PHACTR4	Phactr4
NAA35	Naa35
CCDC177	Ccdc177
PLEKHA1	Plekha1
POMT2	Pomt2
TRUB1	Trub1
GLYATL3	Glyatl3
ADNP	Adnp
PDE10A	Pde10a
MYBL2	Mybl2
TAF12	Taf12
CAST	Cast
CCDC73	Ccdc73
GEMIN2	Gemin2
FBXO22	Fbxo22
BICD2	Bicd2
PLXND1	Plxnd1
RNPS1	Rnps1
RPL4	Rpl4
PANX3	Panx3
STXBP4	Stxbp4
SLC29A4	Slc29a4
NPEPL1	Npepl1
SUPT5H	Supt5
ING5	Ing5
NARG2	Narg2
